class_order,class_type,new_class_code,new_class_name,old_class_code,old_class_type
7,JOB,11101,국회의원,11101,국회의원
7,JOB,11102,지방의회 의원 및 교육 의원,11102,지방의회의원 및 교육위원
7,JOB,11103,중앙정부 고위 공무원,11103,중앙정부 고위공무원
7,JOB,2831,감독 및 기술 감독,2831,감독 및 기술감독
7,JOB,2832,배우 및 모델,2832,배우 및 모델
7,JOB,2833,아나운서 및 리포터,2833,아나운서 및 리포터
7,JOB,2834,촬영기사,2834,촬영기사
7,JOB,2835,음향 및 녹음 기사,2835,음향 및 녹음 기사
7,JOB,2836,영상·녹화 및 편집 기사,2836,영상·녹화 및 편집 기사
7,JOB,7837,새시 조립 및 설치원,7737,섀시 조립 및 설치원
7,JOB,7839,기타 건축 마감 관련 기능 종사원,7739,기타 건축마감관련 기능 종사원
7,JOB,7841,광원·채석원 및 석재 절단원,7741,광원·채석원 및 석재 절단원
7,JOB,12202,광고 및 홍보 관리자,12022,기획·홍보 및 광고 관리자
7,JOB,12209,그 외 마케팅 및 광고·홍보 관리자,12022,기획·홍보 및 광고 관리자
7,JOB,12209,그 외 마케팅 및 광고·홍보 관리자,12090,그 외 행정 및 경영지원 관리자
7,JOB,13111,인문과학 연구 관리자,13111,인문과학 연구 관리자
7,JOB,13112,사회과학 연구 관리자,13112,사회과학 연구 관리자
7,JOB,8550,금속기계 부품 조립원,8550,금속기계부품 조립원
7,JOB,8610,발전 및 배전장치 조작원,8610,발전 및 배전장치 조작원
7,JOB,8620,전기 및 전자설비 조작원,8620,전기 및 전자 설비 조작원
7,JOB,8631,전기 부품 및 제품 제조 기계 조작원,8631,전기 부품 및 제품제조 기계조작원
7,JOB,8632,전자 부품 및 제품 제조 기계 조작원,8632,전자 부품 및 제품 제조 기계조작원
7,JOB,8640,전기·전자 부품 및 제품 조립원,8640,전기·전자 부품 및 제품 조립원
7,JOB,8710,철도 및 전동차 기관사,8710,철도 및 전동차 기관사
7,JOB,8720,철도운송 관련 종사원,8720,화물열차 차장 및 관련 종사원
7,JOB,8731,택시 운전원,8731,택시 운전원
7,JOB,8732,버스 운전원,8732,버스 운전원
7,JOB,8733,화물차 및 특수차 운전원,8733,화물차 및 특수차 운전원
7,JOB,8739,기타 자동차 운전원,8739,기타 자동차 운전원
7,JOB,8740,물품 이동 장비 조작원,8740,물품이동 장비 조작원
7,JOB,7842,철로 설치 및 보수원,7742,철로 설치 및 보수원
7,JOB,7849,기타 채굴 및 토목 관련 종사원,7749,기타 채굴 및 토목 관련 종사자
7,JOB,7911,공예원,7911,공예원
7,JOB,7912,귀금속 및 보석 세공원,7912,귀금속 및 보석 세공원
7,JOB,7921,건설 배관공,7921,건설 배관공
7,JOB,7922,공업 배관공,7922,공업 배관공
7,JOB,7929,기타 배관공,7929,기타 배관공
7,JOB,8750,건설 및 채굴기계 운전원,8733,화물차 및 특수차 운전원
7,JOB,8750,건설 및 채굴기계 운전원,8750,건설 및 채굴 기계 운전원
7,JOB,9421,건물 관리원,9421,경비원
7,JOB,9422,검표원,9422,검표원
7,JOB,9511,가사 도우미,9511,가사 도우미
7,JOB,8760,선박 승무원 및 관련 종사원,8760,선박 갑판승무원 및 관련 종사원
7,JOB,8810,상하수도 처리 장치 조작원,8810,상·하수도 처리장치 조작원
7,JOB,8820,재활용 처리 및 소각로 조작원,8820,재활용 처리 및 소각로 조작원
7,JOB,8911,목재가공 관련 기계 조작원,8911,목재 가공관련 기계 조작원
7,JOB,8912,가구 조립원,8912,가구조립원
7,JOB,8913,펄프 및 종이 제조 장치 조작원,8913,펄프 및 종이 제조장치 조작원
7,JOB,8914,종이제품 생산기 조작원,8914,종이제품 생산기 조작원
7,JOB,12122,기획 관리자,12022,기획·홍보 및 광고 관리자
7,JOB,12123,재무 관리자,12023,재무 관리자
7,JOB,12124,자재 및 구매 관리자,12024,자재 및 구매 관리자
7,JOB,12129,그 외 경영 지원 관리자,12029,그 외 경영지원 관리자
7,JOB,12129,그 외 경영 지원 관리자,12090,그 외 행정 및 경영지원 관리자
7,JOB,12201,마케팅 관리자,12022,기획·홍보 및 광고 관리자
7,JOB,89131,펄프 제조 장치 조작원,89131,펄프 제조장치 조작원
7,JOB,89132,종이 제조 장치 조작원,89132,종이 제조장치 조작원
7,JOB,89141,종이상자 및 봉투 제조기 조작원,89141,종이상자 및 봉투 제조기 조작원
7,JOB,89142,판지 라이닝기 조작원,89142,판지 라이닝기 조작원
7,JOB,89143,인화지 제조기 조작원,89143,인화지 제조기 조작원
7,JOB,89144,위생용 종이제품 제조기 조작원,89144,위생용 종이제품 제조기 조작원
7,JOB,89149,그 외 종이제품 생산기 조작원,89149,그 외 종이제품 생산기 조작원
7,JOB,89190,그 외 목재 및 종이 관련 기계 조작원,89190,그 외 목재 및 종이 관련 기계조작원
7,JOB,89211,인쇄 필름 출력원,89211,인쇄필름 출력원
7,JOB,89212,인쇄판 출력원,89212,인쇄판 출력원
7,JOB,89213,오프셋인쇄기 조작원,89213,오프셋인쇄기 조작원
7,JOB,89214,윤전인쇄기 조작원,89214,윤전인쇄기 조작원
7,JOB,2321,화학공학 기술자 및 연구원,2321,화학공학 기술자 및 연구원
7,JOB,2322,화학공학 시험원,2322,화학공학 시험원
7,JOB,2331,금속·재료 공학 연구원 및 기술자,2331,금속 · 재료공학 연구원 및 기술자
7,JOB,2332,금속 및 재료 공학 시험원,2332,금속 · 재료공학 시험원
7,JOB,2341,전기공학 기술자 및 연구원,2351,전기공학 기술자 및 연구원
7,JOB,2342,전자공학 기술자 및 연구원,2352,전자공학 기술자 및 연구원
7,JOB,2343,전기 및 전자공학 시험원,2354,전기·전자 및 기계 공학 시험원
7,JOB,2351,기계공학 기술자 및 연구원,2353,기계공학 기술자 및 연구원
7,JOB,2352,로봇공학 기술자 및 연구원,2353,기계공학 기술자 및 연구원
7,JOB,320,금융 사무 종사자,992,계기검침·수금 및 주차 관련 종사원
7,JOB,330,법률 및 감사 사무 종사자,330,법률 및 감사 사무 종사자
7,JOB,391,통계 관련 사무원,391,통계관련 사무원
7,JOB,392,여행·안내 및 접수 사무원,392,여행·안내 및 접수 사무원
7,JOB,399,고객 상담 및 기타 사무원,247,사회복지관련 종사자
7,JOB,399,고객 상담 및 기타 사무원,314,비서 및 사무 보조원
7,JOB,399,고객 상담 및 기타 사무원,399,고객 상담 및 기타 사무원
7,JOB,411,경찰·소방 및 교도 관련 종사자,411,경찰·소방 및 교도 관련 종사자
7,JOB,412,경호 및 보안 관련 종사자,412,경호 및 보안 관련 종사자
7,JOB,412,경호 및 보안 관련 종사자,942,경비원 및 검표원
7,JOB,421,돌봄 및 보건 서비스 종사자,259,기타 교육 전문가
7,JOB,15113,무역 관련 관리자,15113,무역관련 관리자
7,JOB,15121,육상운송 관련 관리자,15121,육상운송 관리자
7,JOB,15122,해상운송 관련 관리자,15122,해상운송 관리자
7,JOB,15123,항공운송 관련 관리자,15123,항공운송관련 관리자
7,JOB,15211,숙박 관련 관리자,15211,숙박관련 관리자
7,JOB,15212,여행 관련 관리자,15212,여행관련 관리자
7,JOB,15213,오락 및 스포츠 관련 관리자,15213,오락 및 스포츠 관련 관리자
7,JOB,15219,그 외 숙박·여행·오락 및 스포츠 관련 관리자,15219,그 외 숙박·여행·오락 및 스포츠 관련 관리자
7,JOB,15220,음식 서비스 관련 관리자,15220,음식서비스관련 관리자
7,JOB,15301,환경 관련 관리자,15301,환경관련 관리자
7,JOB,15302,청소 관련 관리자,15302,청소관련 관리자
7,JOB,15303,경비 관련 관리자,15303,경비관련 관리자
7,JOB,15901,회원 단체 관련 관리자,15901,회원단체관련 관리자
7,JOB,15909,그 외 판매 및 고객 서비스 관리자,15909,그 외 판매 및 고객 서비스 관리자
7,JOB,2869,기타 스포츠 및 레크리에이션 관련 전문가,2899,마술사 및 기타 문화· 예술 관련 종사자
7,JOB,286,스포츠 및 레크리에이션 관련 전문가,289,매니저 및 기타 문화·예술 관련 종사자
7,JOB,4123,시설 및 특수 경비원,4121,경호원
7,JOB,99211,계기 검침원,99211,계기 검침원
7,JOB,99212,가스 점검원,99212,가스 점검원
7,JOB,99220,자동판매기 관리원,99220,수금원
7,JOB,99231,주차 관리원,99231,주차 관리원
7,JOB,99232,주차 안내원,99232,주차 안내원
7,JOB,99910,구두 미화원,99910,구두 62
7,JOB,99920,세탁원 및 다림질원,99920,세탁원 및 다림질원
7,JOB,99991,환경 감시원,99991,환경 감시원
7,JOB,99992,대여 제품 방문 점검원,99999,그 외 서비스관련 단순 종사원
7,JOB,99999,그 외 서비스 관련 단순 종사원,99999,그 외 서비스관련 단순 종사원
7,JOB,A0110,영관급 이상 장교,A1110,영관급 이상 장교
7,JOB,A0120,위관급 장교,A1120,위관급 장교
7,JOB,A0200,부사관,A1200,장기 부사관 및 준위
7,JOB,A0900,기타 군인,-,
7,JOB,1110,의회 의원·고위 공무원 및 공공단체 임원,1110,의회의원·고위공무원 및 공공단체임원
7,JOB,1120,기업 고위 임원,1120,기업고위임원
7,JOB,1211,정부행정 관리자,1201,정부행정 관리자
7,JOB,1212,경영 지원 관리자,1202,경영지원 관리자
7,JOB,1212,경영 지원 관리자,1209,기타 행정 및 경영지원 관리자
7,JOB,1220,마케팅 및 광고·홍보 관리자,1202,경영지원 관리자
7,JOB,1220,마케팅 및 광고·홍보 관리자,1209,기타 행정 및 경영지원 관리자
7,JOB,2813,기자 및 언론 관련 전문가,2811,작가 및 관련 전문가
7,JOB,2813,기자 및 언론 관련 전문가,2814,기자 및 논설위원
7,JOB,2814,번역가 및 통역가,2812,번역가
7,JOB,2814,번역가 및 통역가,2813,통역가
7,JOB,2821,학예사 및 문화재 보존원,2821,큐레이터 및 문화재 보존원
7,JOB,2822,사서 및 기록물 관리사,2822,사서 및 기록물관리사
7,JOB,841,주조 및 금속가공 관련 기계 조작원,841,주조 및 금속가공 관련 기계조작원
7,JOB,842,도장 및 도금기 조작원,842,도장 및 도금기 조작원
7,JOB,843,비금속제품 생산기 조작원,843,비금속 제품 생산기 조작원
7,JOB,851,금속 공작 기계 조작원,851,금속공작기계 조작원
7,JOB,852,냉난방 관련 설비 조작원,852,냉·난방 관련 설비 조작원
7,JOB,286,스포츠 및 레크리에이션 관련 전문가,286,스포츠 및 레크레이션 관련 전문가
7,JOB,287,식문화 관련 전문가,441,주방장 및 조리사
7,JOB,288,문화·예술 관련 기획자 및 매니저,273,상품기획·홍보 및 조사 전문가
7,JOB,288,문화·예술 관련 기획자 및 매니저,289,매니저 및 기타 문화·예술 관련 종사자
7,JOB,311,행정 사무원,311,행정 사무원
7,JOB,312,경영 관련 사무원,312,경영관련 사무원
